"text","label"
"найдены пробиотики которые помогают коровам давать больше молока","Сельское хозяйство"
"энергия из отходов ученые упростили получение метана из конденсата","Химия и материалы"
"томские ученые изучили патогенный вариант гена при пороках развития мозга","Медицина"
"небывалая визуализация первые в россии контрастные агенты для узи интервью с руководительницей проекта полиной рудаковской","Интервью"
"пептид из яда паука облегчил уксусные корчи мышей","Биология"
"насколько опасны волны от извержения подводного вулкана","Науки о Земле"
"химики мгу придумали принципиально новую систему мониторинга живых систем","Химия и материалы"
"создан новый метод образования химической связи между бором и азотом","Химия и материалы"
"рнф и санктпетербургский научный фонд подвели итоги пилотного регионального конкурса по поддержке ниокр с участием квалифицированного заказчика","Новости Фонда"
"ученые узнали как устроено распознавание чужеродной днк","Биология"
"создан новый метод оценки эффективности фотосенсибилизаторов для лечения рака","Химия и материалы"
"итпм со ран управление вихревыми потоками становится реальностью","Инженерные науки"
"осторожно мошенники как защитить себя от поддельных аккаунтов сотрудников рнф","Новости Фонда"
"разработан импортозамещающий краситель для диагностики заболеваний","Химия и материалы"
"размытая граница между металлами в два раза повысила эффективность излучателя терагерцевых волн","Физика и космос"
"древний курганный могильник в липецкой области датировали по почвам","Науки о Земле"
"создан инновационный материал для субмикронной электроники","Химия и материалы"
"эволюцию мозга крокодилов проследили проникнув внутрь черепа их древних родственников","Биология"
"томские ученые помогут улучшить установки мокрой очистки воздуха и газов","Математика"
"школа рнф прошла в казанском приволжском федеральном университете","Новости Фонда"
"в сибири создали сверхмалые наночастицы для борьбы с онкозаболеваниями","Химия и материалы"
"может ли развивающий гаджет стать опасным для психики ребенка мнение психологов","Гуманитарные науки"
"губка для свинца и меди российские ученые создали сорбент очищающий почву от тяжелых металлов","Сельское хозяйство"
"подведены итоги шести конкурсов рнф","Новости Фонда"
"проект получит поддержку рнф по итогам региональных конкурсов","Новости Фонда"
"суперкислота помогла получить прочный биоразлагаемый полимер","Химия и материалы"
"синтезируемые в плазме композитные наноматериалы из графена и меди защитят электронику от перегрева","Физика и космос"
"внезапные стратосферные потепления изменили яркость свечения ночного неба над сибирью","Науки о Земле"
"нейросети научили дорисовывать облака и снег","Математика"
"штаммы листерии в составе ветеринарных вакцин принадлежат к двум разным клональным комплексам","Сельское хозяйство"
"обратный эффект ученые нашли фактор усугубляющий болезнь паркинсона","Биология"
"препаратный ресурс пожиратель бактерий совершит переворот в терапии туберкулеза","Медицина"
"рнф объявляет конкурс продления сроков выполнения проектов научных групп под руководством молодых ученых","Новости Фонда"
"рнф объявляет международный конкурс российскобелорусских научных коллективов","Новости Фонда"
"томские ученые разработали инновационный метод визуализации кровеносных сосудов","Медицина"
"разработан новый метод создания металломатричных композитов высокой твердости","Химия и материалы"
"ученые предложили включить водоросли в рацион кроликов для увеличения массы","Сельское хозяйство"
"в северной осетии открыли необычный организм","Биология"
"найден способ улучшить модели кожи для исследования лекарств","Медицина"
"повышена точность работы нейросетей для банковской сферы","Математика"
"школа рнф в казанском приволжском федеральном университете семинары для экспертов мастерклассы и научнопопулярные лекции","Новости Фонда"
"как увидеть аллергию пленка из оксида алюминия заставила органический краситель светиться ярче","Физика и космос"
"в ран заявили что отложения ила в керченском проливе прирастают","Науки о Земле"
"штамповка сделала многокомпонентный сплав для аэрокосмической отрасли тверже и долговечнее","Инженерные науки"
"сезонное изменение цвета океана поможет предсказывать колебания климата земли","Науки о Земле"
"тайна молекул как изменения липидов определяют будущее крабов","Биология"
"ученые оценили риски выхода из цифрового пространства","Гуманитарные науки"
"сибирские ученые обнаружили новый карбонат в группе щелочноземельных металлов","Химия и материалы"
"ученые впервые описали распределение и биологию глубоководной рыбы целоринха","Биология"
"сибирские ученые объяснили почему летом все чаще идут экстремальные дожди","Науки о Земле"
"российские ученые нашли новый способ определять состав бензина","Химия и материалы"
"представители и грантополучатели фонда рассказали об опыте привлечения волонтеров к научным проектам","Новости Фонда"
"в рф разрабатывают сенсоры для выявления заболеваний по дыханию человека","Химия и материалы"
"брэгговские резонансы как улучшить сигналы в сотовых телефонах радиоприемниках и wifi роутерах","Инженерные науки"
"выявлены два белка связанные со стойкостью рака легких к химиотерапии","Биология"
"ученые в сибири разработали быстрый синтез керамики для газотурбинных двигателей","Инженерные науки"
"рак будет разбит новый метод победит устойчивость агрессивной опухоли мозга","Биология"
"максимальная польза российские ученые выяснили как получить богатый аминокислотами чай габа","Химия и материалы"
"спутники защитят от космического мусора многослойными барьерами","Математика"
"владимир путин предложил посвятить новый конкурс рнф памяти выдающегося ученого евгения велихова итоги пленарного заседания форума будущих технологий","Новости Фонда"
"рнф и миа россия сегодня запускают совместный проект по популяризации науки","Новости Фонда"
"оценена вариабельность параметров микроциркуляторнотканевых систем организма с помощью носимых оптических анализаторов","Медицина"
"фундамент будущего химии кадры приборная база сотрудничество науки и бизнеса рнф провел сессию в рамках деловой программы форума будущих технологий","Новости Фонда"
"водоросли любят соль соленость воды повлияла на строение и обмен веществ диатомовых водорослей","Биология"
"рнф на форуме будущих технологий передовые результаты в области химии и дискуссия о технологическом образе будущего россии","Новости Фонда"
"испытан нанокомпозит для очистки проточной воды от мышьяка","Химия и материалы"
"разработана компьютерная модель образования белков связанных с развитием болезни альцгеймера","Химия и материалы"
"предотвращать приступы эпилепсии с помощью нейропротеза предложили в ннгу","Медицина"
"уменьшитель матриц упростит проектирование метаматериалов для оптики","Математика"
"новый способ ученые разработали технологию позволяющую создать гибкий транзистор с электролитическим затвором","Физика и космос"
"пациент с протезом руки без подготовки различил предметы на ощупь","Медицина"
"как упростить проектирование наноматериалов с помощью mlмодели придумали в итмо","Химия и материалы"
"степан калмыков мы хотим сформировать такой научный ландшафт где из гипотез будут вырастать проект за проектом","Интервью"
"заместитель директора рнф андрей блинов рассказал студентам мифи о грантовой системе","Новости Фонда"
"модель диагностики тканей человека создали в нижнем новгороде","Медицина"
"кобальтовые комплексы повысили эффективность препарата против рака","Химия и материалы"
"андрей блинов и александр клименко встретились с резидентами оэз технополис москва","Новости Фонда"
"глава российского научного фонда владимир беспалов новая программа мегагрантов предоставляет ученым право на риск","Новости Фонда"
"физики экспериментально нарушили симметрию света это поможет в создании фотонных устройств","Физика и космос"
"активность макрофагов роль мутаций митохондриальной днк в развитии атеросклероза проанализировали ученые","Медицина"
"саратовские ученые открыли пользу шума","Физика и космос"
"российские ученые разработали новый подход для быстрого выявления маркеров рака мочевого пузыря","Биология"
"новый метод диагностики поможет бороться с эпилепсией","Математика"
"громкий голос российской науки с участием лекторов рнф прозвучал для слушателей","Новости Фонда"
"разработан новый агент для доставки бора в опухоль для борнейтронозахватной терапии","Химия и материалы"
"рнф объявляет конкурс мегагрантов для научных исследований прикладного характера","Новости Фонда"
"тестполоски помогут за считанные минуты выявлять гербицид в свежевыжатых соках","Химия и материалы"
"ученые получили противовирусные препараты широкого спектра действия","Медицина"
"открыт прием заявок на пятый международный конкурс для российскокитайских научных коллективов","Новости Фонда"
"рнф утвердил составы экспертных советов","Новости Фонда"
"биомеханическая модель шеи и плеча поможет при реабилитации после травм","Математика"
"искусственный интеллект ускорил поиск материалов для авиации и космоса","Химия и материалы"
"владимир беспалов поздравил ученых с днем российской науки","Новости Фонда"
"создавая фундамент будущего грантополучатели рнф представят результаты в области химии и новых материалов на форуме будущих технологий","Новости Фонда"
"ход ученых известия собрали яркие открытия ко дню российской науки","СМИ о Фонде"
"вручение премий президента в области науки и инноваций для молодых ученых","Новости Фонда"
"рнф объявляет о начале приема заявок на конкурс мегагрантов","Новости Фонда"
"экспертные советы рнф о трендах в науке от вычислительных систем и зеленой химии до новых продуктов питания","Новости Фонда"
"координатор экспертного совета рнф арутюн аветисян для создания прикладных технологий с ии очень важны междисциплинарные исследования","Интервью"
"координатор экспертного совета рнф борис алексеев мы стоим на пороге эпохи когда болезни будут не просто лечить а предотвращать","Интервью"
"председатель экспертного совета рнф юлия горбунова химия ключевая для россии наука поскольку без нее невозможно создание технологий обогащения и переработки сырья получение из него новых продуктов и материалов","Интервью"
"координатор экспертного совета рнф алла кочеткова сегодня наука о питании интегративна она связана и с сельским хозяйством и с медициной и с цифровыми технологиями","Интервью"
"объявлены лауреаты премии президента рф в области науки и инноваций для молодых ученых за год","Новости Фонда"
"новые фотоактивные вещества помогут при терапии рака молочной железы","Химия и материалы"
"встречайте день российской науки в парке зарядье вместе с рнф и ведущими учеными страны","Новости Фонда"
"согата сантра в нашей лаборатории где собрались ученые из разных стран нет духа соперничества и конкуренции","Интервью"
"как получить наноалмазы и металлуглеродные наночастицы в плазме решение подскажет математическая модель","Физика и космос"
"морская трава поможет быстрее выращивать рачков на корм рыбам и домашним птицам","Сельское хозяйство"
"режим вытеснения мгу оценили эффективность хранения углекислого газа","Математика"
"развитие инфраструктуры парка горького поможет его посетителям разнообразить досуг","Науки о Земле"
"геохимики датировали подводный минерал из крупнейшего бассейна восточной арктики","Науки о Земле"
"на водной поверхности сферические и вытянутые частицы микрогелей повели себя поразному","Химия и материалы"
"энергия солнца светодиоды и рентген ии поможет быстро определять кристаллические структуры гибридных материалов","Химия и материалы"
"ученые сколтеха исследовали новую платформу для интегральной полностью оптической логики","СМИ о Фонде"
"члены экспертных советов рнф расскажут о передовых научных направлениях на прессконференции в тасс","Новости Фонда"
"физики доказали эффективность автоматической системы управления плотностью плазмы на российском токамаке","Инженерные науки"
"ученые нгу нашли способ заставить тромбоциты реагировать на свет","Медицина"
"соотношение метана в газе и пыли протозвезды определили в урфу","Физика и космос"
"рнф и красноярский край подписали соглашение о сотрудничестве","Новости Фонда"
"для регенерации костной ткани ученые создали скэффолды с эффектом памяти формы","Химия и материалы"
"единство мысли россия и белоруссия формируют совместное научное пространство","СМИ о Фонде"
"предсказать эффективность иммунотерапии при раке почки поможет клиническое исследование","Медицина"
"ученые разработали отечественные катализаторы получения изобутилена с максимальным выходом","Химия и материалы"
"создан сверхстойкий материал для атомной и аэрокосмической отрасли","Инженерные науки"
"химический пастух может помочь ликвидировать разлив нефтепродуктов в черном море","Химия и материалы"
"нанорешетки сделали кремний чувствительным к поляризации света","Инженерные науки"
"разливы нефти ухудшают плодородие почв сибири","Биология"
"химики представили новые металлполимерные мембраны для электродиализа","Химия и материалы"
"синтезированные в рф молекулы помогут создать терапию от болезни альцгеймера","Химия и материалы"
"александр мажуга благодаря работе в научной сфере я лучше понимаю ученых их потребности и переживания","Интервью"
"наталия зиновьева главное мы поверили в себя и в то что наши данные конкурентоспособны","Интервью"
"исследована фауна двустворчатых моллюсков в районе курильских островов","Науки о Земле"
"провоцирующие фиброз легких клетки смогут его останавливать","Медицина"
"юрий плугатарь мы прошли большой путь и сегодня показываем коллегам из других регионов как это сделать","Интервью"
"российские ученые раскрыли свойства циркония при экстремальных температурах","Инженерные науки"
"ученые оияи обнаружили новые роды микроорганизмов в баксанской нейтринной обсерватории","Биология"
"резидент сколково разработал технологию выделения изотопа углерода для создания вечных батарей","Инженерные науки"
"новая эра в материаловедении наночастицы превращают абспластики в уникальные композиты","Химия и материалы"
"получены данные для моделирования более безопасных и чистых ядерных реакторов","Химия и материалы"
"виновные в развитии фиброза легких клетки оказались способны его останавливать","Медицина"
"курганный могильник как древние племена применяли сложные погребальные обряды","Науки о Земле"
"химики из санктпетербурга создали новый фотокатализатор для очистки воды","Химия и материалы"
"фосфолипиды и изобутанол с разливами нефти в арктике поможет бороться новый экологически безопасный реагент","Химия и материалы"
"как звучат вихри российские ученые доказали теорию акустической турбулентности","Физика и космос"
"российские ученые заполнили белое пятно на мировой карте биоразнообразия","Биология"
"ученые тпу синтезировали антибактериальный гель для предотвращения инфекций после операций","Химия и материалы"
"московские химики впервые получили серию соединений перекиси водорода с фурацилином","Химия и материалы"
"исследовательская культура помогаем повышать качество исследований","Интервью"
"новые вещества с противораковыми свойствами синтезировали в тпу","Медицина"
"грибразрушитель хвойных деревьев дошел до сибири","Сельское хозяйство"
"самый точный алгоритм для восстановления изображения плазмы определили в мгу","Физика и космос"
"пшеница с большим количеством антоцианов уменьшает объем опухоли и количество метастазов","Биология"
"наблюдения за рачками из байкала помогут раскрыть механизмы образования видов","Биология"
"препарат тпу на основе серебра помог вылечить абрикосы в испании","Химия и материалы"
"сенсоры для экспрессмониторинга полезных и токсичных веществ создали в тпу","Биология"
"дмитрий макаров это как с детьми каждый день их видишь а потом смотришь старые фотографии и понимаешь как выросли ребятишки","Интервью"
"екатерина журавлева сейчас очень хорошее время когда ученые могут раскрывать свои возможности","Интервью"
"андрей минаков когда видишь успехи ученика это всегда радость","Интервью"
"павел стрижак когда ты помогаешь вырастают сильные команды","Интервью"
"рауль гайнетдинов нужно вести за собой а не догонять повторяя то что уже существует","Интервью"
"вадим кукушкин экспертный совет не масонская ложа это просто ученые которые объединены общим делом и выполняют его с энтузиазмом","Интервью"
"в россии разработали математическую модель для планирования хмелеводства","Гуманитарные науки"
"спасти камчатского краба ученым удалось установить генетическую связь между самками и мальками","Биология"
"генная обстановка редкие опухоли головы и шеи будет легче обнаружить","Биология"
"wifiсети избавили от лишней информационной нагрузки","Инженерные науки"
"установлена пространственная структура светособирающего комплекса из пурпурной бактерии с околоатомным разрешением","Биология"
"выявлен бактериофаг способный уничтожать защищенных от вирусов микробов","Биология"
"гербицид и продукт его разложения вызвали нарушения в печени рыб","Сельское хозяйство"
"лазерная модификация материала до четырех раз улучшает теплообмен","Химия и материалы"
"итоги года рнф и телеканал наука рассказали о ярких результатах исследований российских ученых","Новости Фонда"
"солитонная молекула российские физики собрали установку для квантовых вычислений на новых принципах","Инженерные науки"
"усилители из стекла с висмутом повысят пропускную способность интернета в раз","Инженерные науки"
"отечественные oledструктуры и микродисплеи на их основе будут ярче и стабильнее импортных аналогов","Другое"
"высоковольтные полупроводниковые приборы в несколько раз превзойдут зарубежные аналоги","Другое"
"ученые запустят производство особо чистого хлороводорода для микроэлектроники мощностью тонн в год","Другое"
"высокочистый арсенид галлия позволит создать полностью отечественные лазерные системы и уникальные датчики рентгеновского излучения","Другое"
"физики пересмотрели законы образования снежинок дождевых капель и колец сатурна","Математика"
"солнечнослепые приемники изображений помогут следить за радиационными загрязнениями и контролировать поиски нефти","Другое"
